Date,Radial Distance from Sun,Electronic Box Temperature,SWA temperature,OBS Temperature,IBS Temperature,OBS minus IBS Temp.,dutycycle,Search Coil Magnetometer's Temperature,Solar Array's Angle,HGA azimuth,HGA elevation,2.5V-ELB,3.3V-ELB,1.5V-ELB
2021-11-09,0.8784349945087906,3.70618733807236,-7.496386970690709,-86.4835382526495,-75.8426003285338,-10.64093792411569,7.055555555555555,-112.75597176930577,30.0545667963683,-5.271019753391687,-103.23204446508635,2.51417019558361,3.267795789916416,1.5030525030509996
2021-11-10,0.8848049236198977,3.64436984739763,-7.496386970690709,-86.47376028584715,-75.7259667073657,-10.74779357848145,7.083333333333333,-112.89339980455406,30.0545667963683,-6.422391243053156,-102.89804292086562,2.5140839273005664,3.2680110197867887,1.5030525030509996
2021-11-11,0.8911340467603869,3.6471797333374,-7.53563533333414,-86.47376028584715,-75.59412000517565,-10.879640280671495,7.222222222222222,-113.02928125706305,30.0545667963683,-6.990156961031614,-102.73314500064235,2.5140722384829837,3.268107702171697,1.5030525030509996
2021-11-12,0.8974205915968255,3.56007326920484,-7.52442151543602,-86.3906475680273,-75.0312360073643,-11.359411560663006,7.222222222222222,-112.47662843057923,0.0545782406347683,-8.00703424039287,-102.39984974785801,,,
2021-11-13,0.9036628859733769,3.45891737537347,-7.468352425945395,-86.43464841863785,-75.0160229263424,-11.418625492295448,6.472222222222223,-110.8449182919861,0.0545782406347683,-9.536354398930875,-101.97562908636289,2.5136931350897984,3.2670351443981325,1.5030525030509998
2021-11-14,0.9098593538025773,3.4280086300361,-7.50199387963977,-86.60087385427755,-75.16815373656169,-11.43272011771586,6.305555555555556,-110.6825271043532,0.0545782406347683,-10.583664760922856,-101.66016697102461,2.513622817571672,3.2670743643355347,1.5030525030509998
2021-11-15,0.9160085099881379,3.47577669101203,-7.45153169909821,-86.8111001405277,-75.2847873577298,-11.526312782797902,6.388888888888889,-110.76600989799529,0.0545782406347683,-11.659093256719274,-101.33001922475191,2.513757372263932,3.267575920343618,1.5030525030509996
2021-11-16,0.9221089573347897,3.38305045499995,-7.518814606486956,-86.4590933356436,-74.8689631431304,-11.5901301925132,6.472222222222223,-110.94307183879701,0.0545782406347683,-12.18748843753013,-101.16767047599984,2.513520594667476,3.2677554807361155,1.5030525030509996
2021-11-17,0.928159384301743,3.38867022687946,-7.49078006174165,-86.45420435224244,-74.77261362999161,-11.681590722250832,6.527777777777778,-111.09576965573962,0.0545782406347683,-13.361553561434292,-100.80292008734929,2.513567234191697,3.267486596645605,1.503052503051
2021-11-18,0.9341585629682594,3.31280330650594,-7.4122833364547756,-86.410203501632,-74.6001987117431,-11.810004789888893,6.666666666666667,-111.23875231913635,0.0545782406347683,-14.112589258673825,-100.56737921832354,2.5133888943210994,3.267136891020864,1.5030525030509996
2021-11-19,0.9401053491016816,3.23693638613242,-7.507600788588835,-85.9408610951199,-74.0221016329098,-11.918759462210105,6.666666666666667,-111.38077653689176,0.0545782406347683,-15.0904693643659,-100.224041774894,,,
2021-11-20,0.9459986848902555,3.13859037824081,-7.2608967948301295,-85.8186365100907,-73.844615687654,-11.9740208224367,48.166666666666664,-111.51223606973755,0.0545782406347683,-16.378274837904954,-99.84467623161146,2.5132101054406024,3.266930538771932,1.5030525030509998
2021-11-21,0.9518376067074561,0.98902763432433,-7.16557934269611,-49.8326748344358,-38.7207733404829,-11.1119014939529,20.083333333333332,-111.02103812428787,0.0545782406347683,-17.024399683651364,-99.5884930818165,2.5109502772457875,3.264087710242769,1.5030645851352586
